"city","establishmentname","address","type","lat","lon"
"100 MILE HOUSE","100 MILE HOUSE GLS 221","2 - 575A ALDER AVE","BC Liquor Store",51.638729,-121.297073
"100 MILE HOUSE","LAKEWOOD INN","365 S CARIBOO HWY","Private Liquor Store",51.5968122,-121.3055975
"100 MILE HOUSE","","2 ? 95A CARIBOO HIGHWAY 97","Proposed Store Location",51.5968122,-121.3055975
"ABBOTSFORD","ABBOTSFORD GLS 149","40 - 32500 SOUTH FRASER WAY","BC Liquor Store",49.0505838,-122.3247049
"ABBOTSFORD","ABBOTSFORD LIQUOR BARN","2520 MONTVUE AVE","Private Liquor Store",49.047722,-122.288548
"ABBOTSFORD","ABBOTSFORD VILLAGE GLS 189","117 - 2070 SUMAS WAY ","BC Liquor Store",49.039593,-122.27036
"ABBOTSFORD","CHARACTER'S LIQUOR STORE","2509 PAULINE ST","Private Liquor Store",49.0474938,-122.2920762
"ABBOTSFORD","CLEARBROOK LIQUOR BARN","30  31940 SOUTH FRASER WAY","Private Liquor Store",49.047955,-122.3389519
"ABBOTSFORD","FRASER VALLEY INN","33790 ESSENDENE AVE","Private Liquor Store",49.048675,-122.289224
"ABBOTSFORD","HIGHWAYMAN PUB","32470 SIMON AVE","Private Liquor Store",49.052727,-122.324642
"ABBOTSFORD","MT. LEHMAN LIQUOR STORE ","M115- 3122 MT. LEHMAN RD","Private Liquor Store",49.0582156,-122.3785136
"ABBOTSFORD","WHATCOM WINE & SPIRITS","100 - 1900 NORTH PARALLEL ROAD","Private Liquor Store",49.0362168,-122.2312565
"ABBOTSFORD","","1 - 34252 MARSHALL ROAD","Proposed Store Location",49.0381135,-122.2753601
"ABBOTSFORD","","104 1520 MCCALLUM ROAD","Proposed Store Location",49.0306952,-122.2926722
"ABBOTSFORD","","105 - 2596 MCMILLAN ROAD","Proposed Store Location",49.0490435,-122.2597924
"ABBOTSFORD","","135-2362 WHATCOM ROAD","Proposed Store Location",49.0451272,-122.2226046
"ABBOTSFORD","","150-3033 IMMEL STREET","Proposed Store Location",49.0571498,-122.2733903
"ABBOTSFORD","","28060 FRASER HIGHWAY","Proposed Store Location",49.057337,-122.4470801
"ABBOTSFORD","","32131 MARSHALL ROAD","Proposed Store Location",49.038502,-122.333877
"ABBOTSFORD","","ADJ. 3342 TOWNLINE RD. (CIVIC ADDRESS TBD)","Proposed Store Location",49.054587,-122.328026
"ABBOTSFORD","","UNIT 1 - 2785 BOURQUIN CRESCENT WEST","Proposed Store Location",49.05265,-122.3109119
"ABBOTSFORD","","UNIT C - 31192 SOUTH FRASER WAY","Proposed Store Location",49.047804,-122.360552
"AGASSIZ","AGASSIZ GLS 064","7250 PIONEER AVENUE","BC Liquor Store",49.2384436,-121.7596551
"AGASSIZ","AGASSIZ LIQUOR STORE","1810 #9 HIGHWAY","Private Liquor Store",49.2369828,-121.7613521
"AGASSIZ","HOT SPRINGS LIQUOR STORE","2406 HOT SPRINGS RD","Private Liquor Store",49.247665,-121.78246
"ALDERGROVE","ALDER INN HOTEL","27214 FRASER HWY","Private Liquor Store",49.0580139,-122.4705519
"ALDERGROVE","ALDERGROVE GLS 109","200 - 26310 FRASER HWY","BC Liquor Store",49.0586533,-122.4941776
"ALDERGROVE","ALDERGROVE LIQUOR STORE","26444 32 AVENUE","Private Liquor Store",49.060218,-122.4911732
